"ScientificName","Symbol","GrowthForm","Diam_Loc"
"Acer negundo","ACNE2","Tree","Breast Height"
"Amelanchier alnifolia","AMAL2","Tall Shrub","Root Collar"
"Amelanchier humilis","AMHU2","Tall Shrub","Root Collar"
"Betula occidentalis","BEOC2","Tree","Breast Height"
"Betula papyrifera","BEPA","Tree","Breast Height"
"Celtis occidentalis","CEOC","Tree","Breast Height"
"Crataegus chrysocarpa","CRCH","Tall Shrub","Root Collar"
"Crataegus douglasii","CRDO2","Tree","Breast Height"
"Crataegus succulenta","CRSU5","Tree","Breast Height"
"Elaeagnus angustifolia","ELAN","Tree","Breast Height"
"Elaeagnus commutata","ELCO","Tall Shrub","Root Collar"
"Fraxinus pennsylvanica","FRPE","Tree","Breast Height"
"Gleditsia triacanthos","GLTR","Tree","Breast Height"
"Juglans nigra","JUNI","Tree","Breast Height"
"Juniperus scopulorum","JUSC2","Tree","Root Collar"
"Juniperus virginiana","JUVI","Tree","Breast Height"
"Malus ioensis var. ioensis","MAIOI","Tree","Breast Height"
"Malus pumila","MAPU","Tree","Breast Height"
"Ostrya virginiana","OSVI","Tree","Breast Height"
"Picea glauca","PIGL","Tree","Breast Height"
"Picea pungens","PIPU","Tree","Breast Height"
"Pinus ponderosa","PIPO","Tree","Breast Height"
"Populus alba","POAL7","Tree","Breast Height"
"Populus angustifolia","POAN3","Tree","Breast Height"
"Populus balsamifera","POBA2","Tree","Breast Height"
"Populus deltoides","PODE3","Tree","Breast Height"
"Populus tremuloides","POTR5","Tree","Breast Height"
"Prunus mexicana","PRME","Tree","Breast Height"
"Prunus pensylvanica","PRPE2","Tree","Breast Height"
"Prunus virginiana","PRVI","Tall Shrub","Root Collar"
"Quercus macrocarpa","QUMA2","Tree","Breast Height"
"Rhamnus cathartica","RHCA3","Tall Shrub","Root Collar"
"Salix alba","SAAL2","Tree","Breast Height"
"Salix amygdaloides","SAAM2","Tree","Breast Height"
"Salix bebbiana","SABE2","Tall Shrub","Root Collar"
"Salix eriocephala","SAER","Tall Shrub","Root Collar"
"Salix exigua","SAEX","Tall Shrub","Root Collar"
"Salix fragilis","SAFR","Tree","Breast Height"
"Salix lucida","SALU","Tall Shrub","Root Collar"
"Salix lutea","SALU2","Tall Shrub","Root Collar"
"Sambucus nigra ssp. canadensis","SANIC4","Tall Shrub","Root Collar"
"Shepherdia argentea","SHAR","Tall Shrub","Root Collar"
"Sorbus scopulina","SOSC2","Tall Shrub","Root Collar"
"Syringa vulgaris","SYVU","Tall Shrub","Root Collar"
"Tamarix chinensis","TACH2","Tree","Breast Height"
"Tamarix ramosissima","TARA","Tall Shrub","Root Collar"
"Ulmus americana","ULAM","Tree","Breast Height"
"Ulmus pumila","ULPU","Tree","Breast Height"
"Ulmus rubra","ULRU","Tree","Breast Height"
"Viburnum lentago","VILE","Tall Shrub","Root Collar"
